"id"	"audio_url"	"transcript_url"
"140b842960ca0e6d0a81b0bc8e81afa9"	"http://mpegmedia.abc.net.au/news/audio/am/201503/20150309-am08-tokyofirebombings.mp3"	"http://www.abc.net.au/am/content/2015/s4193654.htm"
"14253b967a0b452604c74b75f8b2b5f3"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141007-eam01-whatsinaname.mp3"	"http://www.abc.net.au/am/content/2014/s4101612.htm"
"145efcc3b20813d6aa55fd5494b40f9d"	"http://mpegmedia.abc.net.au/news/audio/twt/201410/20141013-twt03-suchpassing.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4105591.htm"
"1467cc71e4b4c1050cb29427bf0d2ac1"	"http://mpegmedia.abc.net.au/news/audio/pm/201410/20141031-rnpm02-defenceinquiry.mp3"	"http://www.abc.net.au/pm/content/2014/s4119216.htm"
"14782d7660bb9b3055f78e9d61c290fa"	"http://mpegmedia.abc.net.au/news/audio/twt/201410/20141003-twt06-jpmorganlive.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4099820.htm"
"147906d84c35c6d69424df896508d6d8"	"http://mpegmedia.abc.net.au/news/audio/am/201503/20150330-eam02-taxtalk.mp3"	"http://www.abc.net.au/am/content/2015/s4207083.htm"
"148f70bc7eccc7e45e199598debf50c7"	"http://mpegmedia.abc.net.au/news/audio/twt/201411/20141105-twt04-companydirectors.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4121873.htm"
"14b630581b297e5a86ff83a323c4029f"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141006-am03-indiaisil.mp3"	"http://www.abc.net.au/am/content/2014/s4100889.htm"
"14f944c187c3c0a9d4195d870f60b4f0"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141013-am03-graduateslaries.mp3"	"http://www.abc.net.au/am/content/2014/s4105448.htm"
"14ff8468fd07e6cc54f7a403d2035123"	"http://mpegmedia.abc.net.au/news/audio/am/201412/20141202-eam03-rcyogacult.mp3"	"http://www.abc.net.au/am/content/2014/s4140087.htm"
"1538e07810d3c36b734f7650a51f5528"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141124-pm01-abcreax.mp3"	"http://www.abc.net.au/pm/content/2014/s4134860.htm"
"1539b0e6e59b85c2355cefc920c268a4"	"http://mpegmedia.abc.net.au/news/audio/pm/201410/20141024-pm09-qantasbonus.mp3"	"http://www.abc.net.au/pm/content/2014/s4114252.htm"
"1542d77fe407b0dbc25411d13f9c1929"	"http://mpegmedia.abc.net.au/news/audio/twt/201503/20150319-twt03-metadatadeal.mp3"	"http://www.abc.net.au/worldtoday/content/2015/s4200642.htm"
"156949ea01e92eb145580961463fb070"	"http://mpegmedia.abc.net.au/news/audio/pm/201503/20150323-pm05-prenataltest.mp3"	"http://www.abc.net.au/pm/content/2015/s4203200.htm"
"15a213c29c1f30905ce64f9a56a93cfe"	"http://mpegmedia.abc.net.au/news/audio/twt/201410/20141023-twt03-elizabethmayinterview.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4112970.htm"
"15f1be2fb9855b98bdb55344061170b2"	"http://mpegmedia.abc.net.au/news/audio/pm/201412/20141218-pm07-youthconnections.mp3"	"http://www.abc.net.au/pm/content/2014/s4151585.htm"
"15f67bffc86fe5e6e1c85a6a838b48f8"	"http://mpegmedia.abc.net.au/news/audio/twt/201410/20141014-twt02-defencewages.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4106543.htm"
"16078625460a6d73923e1ab63edbd67b"	"http://mpegmedia.abc.net.au/news/audio/am/201502/20150221-sam05-indonreax.mp3"	"http://www.abc.net.au/am/content/2015/s4184461.htm"
